"","DATE","SUB_ICB_CODE","LA_CODE","PATIENT_TYPE","POP"
"440",2018-09-30,NA,"E06000025","Child",58166
"441",2018-09-30,NA,"E06000026","Adult",210653
"442",2018-09-30,NA,"E06000026","Child",52417
"443",2018-09-30,NA,"E06000027","Adult",109830
"444",2018-09-30,NA,"E06000027","Child",25417
"445",2018-09-30,NA,"E06000028","Adult",158771
"446",2018-09-30,NA,"E06000028","Child",35981
"447",2018-09-30,NA,"E06000029","Adult",121080
"448",2018-09-30,NA,"E06000029","Child",30190
"449",2018-09-30,NA,"E06000030","Adult",170439
"450",2018-09-30,NA,"E06000030","Child",49924
"451",2018-09-30,NA,"E06000031","Adult",148905
"452",2018-09-30,NA,"E06000031","Child",50009
"453",2018-09-30,NA,"E06000032","Adult",157615
"454",2018-09-30,NA,"E06000032","Child",57043
"455",2018-09-30,NA,"E06000033","Adult",142693
"456",2018-09-30,NA,"E06000033","Child",39115
"457",2018-09-30,NA,"E06000034","Adult",127570
"458",2018-09-30,NA,"E06000034","Child",42824
"459",2018-09-30,NA,"E06000035","Adult",213673
"460",2018-09-30,NA,"E06000035","Child",63943
"461",2018-09-30,NA,"E06000036","Adult",92306
"462",2018-09-30,NA,"E06000036","Child",28071
"463",2018-09-30,NA,"E06000037","Adult",122683
"464",2018-09-30,NA,"E06000037","Child",35790
"465",2018-09-30,NA,"E06000038","Adult",125982
"466",2018-09-30,NA,"E06000038","Child",37093
"467",2018-09-30,NA,"E06000039","Adult",106588
"468",2018-09-30,NA,"E06000039","Child",42180
"469",2018-09-30,NA,"E06000040","Adult",115788
"470",2018-09-30,NA,"E06000040","Child",34352
"471",2018-09-30,NA,"E06000041","Adult",126278
"472",2018-09-30,NA,"E06000041","Child",38702
"473",2018-09-30,NA,"E06000042","Adult",199874
"474",2018-09-30,NA,"E06000042","Child",67647
"475",2018-09-30,NA,"E06000043","Adult",237174
"476",2018-09-30,NA,"E06000043","Child",50981
"477",2018-09-30,NA,"E06000044","Adult",170526
"478",2018-09-30,NA,"E06000044","Child",44192
"479",2018-09-30,NA,"E06000045","Adult",202054
"480",2018-09-30,NA,"E06000045","Child",50305
"481",2018-09-30,NA,"E06000046","Adult",115929
"482",2018-09-30,NA,"E06000046","Child",25055
"483",2018-09-30,NA,"E06000047","Adult",423122
"484",2018-09-30,NA,"E06000047","Child",100540
"485",2018-09-30,NA,"E06000049","Adult",303012
"486",2018-09-30,NA,"E06000049","Child",75834
"487",2018-09-30,NA,"E06000050","Adult",270702
"488",2018-09-30,NA,"E06000050","Child",67284
"489",2018-09-30,NA,"E06000051","Adult",257768
"490",2018-09-30,NA,"E06000051","Child",59691
"491",2018-09-30,NA,"E06000052","Adult",454305
"492",2018-09-30,NA,"E06000052","Child",107044
"493",2018-09-30,NA,"E06000054","Adult",390446
"494",2018-09-30,NA,"E06000054","Child",105597
"495",2018-09-30,NA,"E06000055","Adult",130688
"496",2018-09-30,NA,"E06000055","Child",39224
"497",2018-09-30,NA,"E06000056","Adult",218581
"498",2018-09-30,NA,"E06000056","Child",61449
"499",2018-09-30,NA,"E06000057","Adult",260104
"500",2018-09-30,NA,"E06000057","Child",58926
"501",2018-09-30,NA,"E08000001","Adult",217380
"502",2018-09-30,NA,"E08000001","Child",67433
"503",2018-09-30,NA,"E08000002","Adult",146515
"504",2018-09-30,NA,"E08000002","Child",43113
"505",2018-09-30,NA,"E08000003","Adult",424319
"506",2018-09-30,NA,"E08000003","Child",121182
"507",2018-09-30,NA,"E08000004","Adult",174690
"508",2018-09-30,NA,"E08000004","Child",59069
"509",2018-09-30,NA,"E08000005","Adult",166331
"510",2018-09-30,NA,"E08000005","Child",52128
"511",2018-09-30,NA,"E08000006","Adult",195675
"512",2018-09-30,NA,"E08000006","Child",55657
"513",2018-09-30,NA,"E08000007","Adult",228133
"514",2018-09-30,NA,"E08000007","Child",62912
"515",2018-09-30,NA,"E08000008","Adult",174474
"516",2018-09-30,NA,"E08000008","Child",49645
"517",2018-09-30,NA,"E08000009","Adult",179851
"518",2018-09-30,NA,"E08000009","Child",55642
"519",2018-09-30,NA,"E08000010","Adult",256574
"520",2018-09-30,NA,"E08000010","Child",68076
"521",2018-09-30,NA,"E08000011","Adult",115630
"522",2018-09-30,NA,"E08000011","Child",32930
"523",2018-09-30,NA,"E08000012","Adult",397993
"524",2018-09-30,NA,"E08000012","Child",93556
"525",2018-09-30,NA,"E08000013","Adult",142687
"526",2018-09-30,NA,"E08000013","Child",36644
"527",2018-09-30,NA,"E08000014","Adult",221075
"528",2018-09-30,NA,"E08000014","Child",53514
"529",2018-09-30,NA,"E08000015","Adult",255090
"530",2018-09-30,NA,"E08000015","Child",67706
"531",2018-09-30,NA,"E08000016","Adult",193156
"532",2018-09-30,NA,"E08000016","Child",50185
"533",2018-09-30,NA,"E08000017","Adult",243073
"534",2018-09-30,NA,"E08000017","Child",65867
"535",2018-09-30,NA,"E08000018","Adult",206428
"536",2018-09-30,NA,"E08000018","Child",56947
